Year,State,Time_of_Day,Accident_Count
2016,AL,Afternoon,47
2016,AL,Evening,16
2016,AL,Morning,60
2016,AL,Night,9
2016,AR,Afternoon,11
2016,AR,Evening,3
2016,AR,Morning,12
2016,AZ,Afternoon,624
2016,AZ,Evening,521
2016,AZ,Morning,1302
2016,AZ,Night,288
2016,CA,Afternoon,40800
2016,CA,Evening,35870
2016,CA,Morning,39695
2016,CA,Night,21861
2016,CO,Afternoon,362
2016,CO,Evening,173
2016,CO,Morning,646
2016,CO,Night,139
2016,CT,Afternoon,1248
2016,CT,Evening,834
2016,CT,Morning,1823
2016,CT,Night,253
2016,DC,Afternoon,69
2016,DC,Evening,38
2016,DC,Morning,192
2016,DC,Night,17
2016,DE,Afternoon,99
2016,DE,Evening,65
2016,DE,Morning,74
2016,DE,Night,43
2016,FL,Afternoon,9573
2016,FL,Evening,5500
2016,FL,Morning,19595
2016,FL,Night,1934
2016,GA,Afternoon,3989
2016,GA,Evening,2345
2016,GA,Morning,5933
2016,GA,Night,847
2016,IA,Afternoon,398
2016,IA,Evening,587
2016,IA,Morning,661
2016,IA,Night,113
2016,ID,Afternoon,117
2016,ID,Evening,65
2016,ID,Morning,145
2016,ID,Night,65
2016,IL,Afternoon,4921
2016,IL,Evening,4021
2016,IL,Morning,7097
2016,IL,Night,1022
2016,IN,Afternoon,483
2016,IN,Evening,227
2016,IN,Morning,718
2016,IN,Night,162
2016,KS,Afternoon,126
2016,KS,Evening,142
2016,KS,Morning,150
2016,KS,Night,26
2016,KY,Afternoon,306
2016,KY,Evening,260
2016,KY,Morning,384
2016,KY,Night,109
2016,LA,Afternoon,165
2016,LA,Evening,91
2016,LA,Morning,502
2016,LA,Night,90
2016,MA,Afternoon,679
2016,MA,Evening,432
2016,MA,Morning,3439
2016,MA,Night,108
2016,MD,Afternoon,1277
2016,MD,Evening,1102
2016,MD,Morning,3037
2016,MD,Night,424
2016,ME,Afternoon,49
2016,ME,Evening,27
2016,ME,Morning,41
2016,ME,Night,12
2016,MI,Afternoon,4919
2016,MI,Evening,3840
2016,MI,Morning,6099
2016,MI,Night,1763
2016,MN,Afternoon,503
2016,MN,Evening,461
2016,MN,Morning,1197
2016,MN,Night,397
2016,MO,Afternoon,1002
2016,MO,Evening,797
2016,MO,Morning,1613
2016,MO,Night,255
2016,MS,Afternoon,143
2016,MS,Evening,68
2016,MS,Morning,163
2016,MS,Night,20
2016,MT,Afternoon,28
2016,MT,Evening,2
2016,MT,Morning,25
2016,MT,Night,7
2016,NC,Afternoon,1831
2016,NC,Evening,593
2016,NC,Morning,3454
2016,NC,Night,234
2016,ND,Morning,1
2016,ND,Night,2
2016,NE,Afternoon,1741
2016,NE,Evening,1708
2016,NE,Morning,2280
2016,NE,Night,54
2016,NH,Afternoon,89
2016,NH,Evening,52
2016,NH,Morning,144
2016,NH,Night,25
2016,NJ,Afternoon,1983
2016,NJ,Evening,1449
2016,NJ,Morning,3529
2016,NJ,Night,603
2016,NM,Afternoon,37
2016,NM,Evening,12
2016,NM,Morning,89
2016,NM,Night,15
2016,NV,Afternoon,280
2016,NV,Evening,106
2016,NV,Morning,755
2016,NV,Night,207
2016,NY,Afternoon,5449
2016,NY,Evening,4435
2016,NY,Morning,8321
2016,NY,Night,1667
2016,OH,Afternoon,2986
