Year,State,Clear,Cloudy,Fair,Mostly Cloudy,Partly Cloudy
2016,AL,68,0,1,10,21
2016,AR,16,0,2,5,2
2016,AZ,1330,1,7,412,430
2016,CA,80281,201,1515,12171,12475
2016,CO,437,9,4,266,195
2016,CT,1778,0,0,530,390
2016,DC,34,0,0,83,50
2016,DE,151,0,2,32,20
2016,FL,13676,26,217,6293,4488
2016,GA,5456,41,63,2050,1532
2016,IA,620,0,0,208,227
2016,ID,225,3,7,24,32
2016,IL,5625,0,0,2883,1921
2016,IN,549,4,5,202,104
2016,KS,268,0,1,22,34
2016,KY,331,3,4,162,115
2016,LA,267,21,50,148,83
2016,MA,1609,0,0,553,634
2016,MD,2202,2,24,887,357
2016,ME,50,3,3,14,8
2016,MI,5368,0,0,2328,1326
2016,MN,795,0,0,331,221
2016,MO,1170,3,6,698,387
2016,MS,170,0,18,51,35
2016,MT,23,1,7,8,2
2016,NC,1578,17,27,1242,969
2016,NE,2534,0,0,726,348
2016,NH,100,0,0,42,38
2016,NJ,2825,0,0,1168,675
2016,NM,46,1,2,36,35
2016,NV,788,0,3,127,252
2016,NY,5841,0,0,3950,2868
2016,OH,3359,4,4,1717,904
2016,OK,241,1,3,65,54
2016,OR,266,10,4,131,74
2016,PA,9443,54,168,2240,1353
2016,RI,308,0,0,306,220
2016,SC,1454,0,6,287,167
2016,SD,2,0,0,2,2
2016,TN,299,3,4,391,220
2016,TX,16920,9,143,7845,6959
2016,UT,486,12,35,89,100
2016,VA,2218,1,0,1088,723
2016,VT,4,0,0,3,0
2016,WA,2552,14,11,1526,695
2016,WI,493,0,0,234,107
2016,WV,76,8,10,62,40
2016,WY,28,8,5,5,1
2017,AL,885,6,20,392,366
2017,AR,65,1,5,13,9
2017,AZ,6607,2,6,1637,2179
2017,CA,79482,299,1340,15075,12414
2017,CO,1829,3,6,1522,1226
2017,CT,2701,0,0,793,629
2017,DC,35,0,0,132,96
2017,DE,443,0,0,79,84
2017,FL,19591,44,258,11292,7726
2017,GA,8026,68,142,3645,2105
2017,IA,1030,0,0,302,305
2017,ID,142,5,6,31,16
2017,IL,6958,0,0,3810,2491
2017,IN,2455,9,19,882,585
2017,KS,433,1,1,39,78
2017,KY,1021,0,0,402,418
2017,LA,5310,52,99,1927,1086
2017,MA,2551,0,0,941,907
2017,MD,3333,19,33,1669,589
2017,ME,133,11,18,80,56
2017,MI,7805,0,0,3531,1866
2017,MN,3273,0,0,1259,631
2017,MO,2549,7,2,1076,767
2017,MS,428,1,14,107,93
2017,MT,33,3,7,12,5
2017,NC,7590,52,104,7567,6263
2017,ND,2,0,0,0,0
2017,NE,2501,0,0,659,305
2017,NH,538,0,0,263,182
2017,NJ,4429,0,0,1932,1034
2017,NM,257,2,4,262,341
2017,NV,1154,17,33,414,397
2017,NY,8125,0,0,7533,4525
2017,OH,3859,2,8,1867,896
2017,OK,4100,2,0,1281,1039
2017,OR,1704,36,20,867,513
2017,PA,10296,127,190,2879,1473
2017,RI,402,0,0,562,389
