State,Year,Weighted_Severity_Score
AL,2016,3.1818181818181817
AL,2017,3.1393156424581004
AL,2018,2.818494623655914
AL,2019,2.537845477386935
AL,2020,2.430263893832308
AL,2021,2.384545288864589
AL,2022,2.281543337803243
AL,2023,2.1085526315789473
AR,2016,2.8846153846153846
AR,2017,3.71875
AR,2018,3.52135231316726
AR,2019,3.082983193277311
AR,2020,2.33837689133425
AR,2021,2.328169459374012
AR,2022,2.3908064010040793
AR,2023,2.457559681697613
AZ,2016,2.757586837294333
AZ,2017,2.5833888149134485
AZ,2018,2.5588946614116805
AZ,2019,2.442787157728983
AZ,2020,1.9849422368468115
AZ,2021,2.1796371944886794
AZ,2022,2.1075394080599947
AZ,2023,2.0624092888243832
CA,2016,2.767901841911073
CA,2017,2.790762270010508
CA,2018,2.773531474890234
CA,2019,2.4305469585954405
CA,2020,2.1908318018903428
CA,2021,2.1579408645853193
CA,2022,2.097367652259483
CA,2023,2.0087674480390754
CO,2016,3.246969696969697
CO,2017,2.8360260770975056
CO,2018,2.899577394169472
CO,2019,3.1587119692889476
CO,2020,2.9796783625730994
CO,2021,2.746685741535527
CO,2022,2.495871652010472
CO,2023,2.3263688760806915
CT,2016,3.0695045695045695
CT,2017,3.152529761904762
CT,2018,3.1789852803006577
CT,2019,3.1135988254725637
CT,2020,2.7248677248677247
CT,2021,2.4352025571537768
CT,2022,2.332399495727693
CT,2023,2.1720304271503803
DC,2016,3.1012658227848102
DC,2017,3.0710059171597632
DC,2018,3.0689655172413794
DC,2019,2.6193921852387843
DC,2020,2.5314465408805034
DC,2021,2.0494094962641602
DC,2022,2.0125385405960947
DC,2023,2.0191082802547773
DE,2016,3.5765124555160144
DE,2017,2.743820224719101
DE,2018,2.4923640806353085
DE,2019,2.372208436724566
DE,2020,2.566447908121411
DE,2021,2.22527158376215
DE,2022,2.253968253968254
DE,2023,2.4571428571428573
FL,2016,2.6114693186164692
FL,2017,2.7014424521686866
FL,2018,2.8128636069812543
FL,2019,2.769571540814791
FL,2020,2.2749299462721835
FL,2021,2.1246486226005943
FL,2022,2.056892981187866
FL,2023,2.0435222672064777
GA,2016,3.2808448985816683
GA,2017,3.3148377054433915
GA,2018,3.2681354110693177
GA,2019,3.1479080479379027
GA,2020,2.919741697416974
GA,2021,2.846931216931217
GA,2022,2.523019338739863
GA,2023,2.263888888888889
IA,2016,3.077316657191586
IA,2017,3.2017368069472276
IA,2018,3.168996710526316
IA,2019,3.2414163090128754
IA,2020,2.831527936145952
IA,2021,2.478642195874614
IA,2022,2.357349537037037
IA,2023,2.232919254658385
ID,2016,2.6020408163265305
ID,2017,2.92022792022792
ID,2018,2.215
ID,2019,2.5278810408921935
ID,2020,2.2083543029693002
ID,2021,2.13090073998469
ID,2022,2.0400313971742543
ID,2023,2.0
IL,2016,2.5607525936346054
IL,2017,2.6498357801432473
IL,2018,2.6603686828575013
IL,2019,2.7941235560020092
IL,2020,3.2075738022261655
IL,2021,3.061743253099927
IL,2022,2.428668265721139
IL,2023,2.145063801208865
IN,2016,3.3855345911949684
IN,2017,2.7704007019596375
IN,2018,2.664058463128368
IN,2019,3.0771641206423817
IN,2020,3.0387586574320724
IN,2021,2.628502535960755
IN,2022,2.5205206156184685
IN,2023,2.3333333333333335
KS,2016,2.599099099099099
KS,2017,2.8727272727272726
KS,2018,3.1279163314561544
KS,2019,3.227140361094933
KS,2020,2.961790814357391
KS,2021,2.4523401826484017
KS,2022,2.2217155266015203
KS,2023,2.0327613104524183
KY,2016,2.964117091595845
KY,2017,3.1070880638232588
KY,2018,3.1654840344652815
KY,2019,2.9001175088131608
KY,2020,2.601814882032668
KY,2021,2.6877061798988344
KY,2022,2.648591845313157
KY,2023,2.173076923076923
LA,2016,2.854952830188679
LA,2017,2.3861848574237956
LA,2018,2.431447841283907
LA,2019,2.430462528347661
LA,2020,2.263577577657
LA,2021,2.210430068902459
LA,2022,2.087610692030174
LA,2023,2.0029311187103076
MA,2016,2.7003005581794763
MA,2017,2.799413633032006
MA,2018,2.887010991608557
MA,2019,2.8205523159863573
MA,2020,2.5645379821154366
MA,2021,2.3401396623353663
MA,2022,2.119792538062573
MA,2023,2.2337662337662336
MD,2016,3.1654109589041095
MD,2017,3.2729124236252547
MD,2018,3.1775777414075286
MD,2019,2.962438872125689
MD,2020,2.585338466474174
MD,2021,2.286052598778512
MD,2022,2.232576644043997
MD,2023,2.1255580357142856
ME,2016,3.062015503875969
ME,2017,2.1666666666666665
ME,2018,2.057607090103397
ME,2019,2.225039619651347
ME,2020,2.4981949458483754
ME,2021,3.1069958847736627
ME,2022,3.4423076923076925
MI,2016,2.734853498586126
MI,2017,2.8843014357554115
MI,2018,2.9236871462215426
MI,2019,2.875165937361719
MI,2020,2.628597238353336
MI,2021,2.41040831206708
MI,2022,2.235361488904796
MI,2023,2.1600719424460433
MN,2016,2.1946833463643474
MN,2017,3.1204016607125618
MN,2018,3.163729220909273
MN,2019,2.5388349514563107
MN,2020,2.1857332624867163
MN,2021,2.0688073394495414
MN,2022,2.010130079429032
MN,2023,2.0039973351099265
MO,2016,2.8887373875102265
MO,2017,3.0612301697745616
MO,2018,3.336245572609209
MO,2019,3.271412680756396
MO,2020,3.0387901404301285
MO,2021,2.570357799462594
MO,2022,2.352364149611856
MO,2023,2.0755813953488373
MS,2016,2.6243654822335025
MS,2017,3.1202346041055717
MS,2018,2.9716484406642367
MS,2019,2.8232581967213113
MS,2020,2.6661569826707443
MS,2021,2.462046204620462
MS,2022,2.370618353682552
MS,2023,2.306122448979592
MT,2016,3.0
MT,2017,3.225563909774436
MT,2018,3.2828947368421053
MT,2019,3.0451612903225804
MT,2020,2.0215343203230147
MT,2021,2.034755544028012
MT,2022,2.043357242265282
MT,2023,2.0087336244541483
NC,2016,2.2025523560209423
NC,2017,2.2742385525890683
NC,2018,2.328000862781752
NC,2019,2.324858200293454
NC,2020,2.245287002047753
NC,2021,2.2160022952036993
NC,2022,2.159256141424964
NC,2023,2.267919507733245
ND,2016,5.0
ND,2017,3.5
ND,2018,2.3333333333333335
ND,2019,3.9375
ND,2020,2.0058309037900877
ND,2021,2.004991680532446
ND,2022,2.0091984231274638
ND,2023,2.0
NE,2016,2.2604184679232233
NE,2017,2.3374272786037493
NE,2018,2.3709372312983663
NE,2019,2.3656797060730494
NE,2020,2.3977364591754244
NE,2021,2.441805225653207
NE,2022,2.32564330079858
NE,2023,2.1846153846153844
NH,2016,2.729032258064516
NH,2017,2.3333333333333335
NH,2018,2.411670020120724
NH,2019,2.4585812356979404
NH,2020,2.5590020229265003
NH,2021,2.625451263537906
NH,2022,2.5970464135021096
NJ,2016,2.758725542041248
NJ,2017,2.713739599730155
NJ,2018,2.7266783831282955
NJ,2019,2.6911844660194175
NJ,2020,2.5494142880712753
NJ,2021,2.318690167307864
NJ,2022,2.1740806440608584
NJ,2023,2.0748005319148937
NM,2016,3.0130718954248366
NM,2017,2.93051890941073
NM,2018,2.8573466476462195
NM,2019,3.099564405724953
NM,2020,2.578047042052744
NM,2021,2.4272517321016167
NM,2022,2.507936507936508
NM,2023,2.4838709677419355
NV,2016,2.3538575667655786
NV,2017,2.848668280871671
NV,2018,2.98212248003043
NV,2019,2.7222968435191404
NV,2020,2.3000424989375268
NV,2021,2.203786484354457
NV,2022,2.0867714472822527
NV,2023,2.11968085106383
NY,2016,2.912590579710145
NY,2017,2.884887389837885
NY,2018,2.9161305951067207
NY,2019,2.7057312945021597
NY,2020,2.547680439385364
NY,2021,2.3422157364465055
NY,2022,2.131284578407957
NY,2023,2.057431970463558
OH,2016,2.838457437355607
OH,2017,2.9346626443970276
OH,2018,2.924274391286993
OH,2019,2.780837505689577
OH,2020,2.535833382086234
OH,2021,2.8530244717159245
OH,2022,2.386662709013555
OH,2023,2.0916763678696157
